xml:id	chars	head	bibl
MG-1677-04_114	2167	[Lettre de Mons. le Duc de Saint Aignan au Roy, sur la prise de Valenciennes]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 114-119.
MG-1677-04_119	833	[Réponse du Roy à Monsieur le Duc de S. Aignan]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 119-121.
MG-1677-04_122	3667	[Histoire du Mariage par hazard]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 122-130.
MG-1677-04_130	792	[Vers de Madame le Camus pour Madame la Comtesse de Guiche sur son Jubilé]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 130-131.
MG-1677-04_0131	1520	[Portrait du Roy en Vers pour la mesme Madame le Camus]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 131-134.
MG-1677-04_184	1175	[Vers de Monsieur l’Abbé Cotin à Monsieur sur sa Victoire]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 184-186.
MG-1677-04_187	1365	Lettre de Monsieur le Duc de S. Aignan, à Son Altesse Royale	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 187-189.
MG-1677-04_190	1250	Lettre de S.A.R. à M. le Duc de S. Aignan	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 190-192.
MG-1677-04_192	1704	Au Roy, Sonnet	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 192-196.
MG-1677-04_225	1082	Sur la Campagne du Roy, & le Jubilé de la Reyne	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 225-227.
MG-1677-04_229	3665	[Lettre de Monsieur le Duc de Saint Aignan, au Roy, sur la prise de Cambray]	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 229-234.
MG-1677-04_235	738	Réponse de la main du Roy, à M. le Duc de S. Aignan	Le Nouveau Mercure Galant, avril, tome II, 1677, p. 235-236.
MG-1677-05_030	1915	A Monsieur, Sur la Victoire qu’il a remportée, & sur son humanité apres la Bataille	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 30-34.
MG-1677-05_034	1255	A Monsieur, Sur la Bataille de Cassel, & la prise de S. Omer	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 34-37.
MG-1677-05_037	1551	[Vers de Madame le Camus à S.A.R.]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 37-40.
MG-1677-05_040	2449	[Deux Sonnets de Monsieur Robinet à Leurs Altesses Royales]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 41-46.
MG-1677-05_046	12041	[Avanture d’une Marquise, d’un Cavalier et d’une Veuve]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 46-72.
MG-1677-05_095	3044	[Galanterie à Iris]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 95-102.
MG-1677-05_102	5267	Lettre d’un Inconnu à l’Autheur du Mercure Galant	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 102-113.
MG-1677-05_113	4568	L’Amour Noyé	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 113-123.
MG-1677-05_181	1232	[Prise de Cambrai]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 181-184.
MG-1677-05_211	4737	[Cinq poèmes au Roy sur ses Conquestes dont un Sonnet par Echo]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 211-223.
MG-1677-05_252	2453	[Mort de l'Evêque de Maupeou et Dispute autour d’un Bracelet entre une Dame et un Cavalier]*	Le Nouveau Mercure Galant, mai, tome III, 1677, p. 252-255.
MG-1677-06_001	13166	[Compliments au Cardinal d’Estrées]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 1-30.
MG-1677-06_030	2640	Epistre au Roy	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 30-35.
MG-1677-06_035	1016	Pour Monsieur. Sonnet	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 35-37.
MG-1677-06_038	3879	Lettre de Madame la Comtesse de Bregy, à Monsieur l’Abbé Bourdelot	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 38-46.
MG-1677-06_046	6993	[Histoire d’un Cavalier trompé par sa Débauche]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 46-61.
MG-1677-06_075	2489	[Trois Rondeaux de Mr de S. Gilles Lenfant]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 75-81.
MG-1677-06_081	1659	[Sur des Ouvrages d’esprit]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 81-84.
MG-1677-06_127	2765	Stances	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 127-132.
MG-1677-06_132	3896	Lettre en chansons	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 132-141.
MG-1677-06_150	893	[Prise de Saint-Omer]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 150-152.
MG-1677-06_155	5792	[Compliments à Madame la Duchesse]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 155-167.
MG-1677-06_167	8669	[Avanture de l’Opéra]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 167-186.
MG-1677-06_207	2426	[Clagny, A Monseigneur le Duc du Mayne, Sur son voyage de Barrege]	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 207-213.
MG-1677-06_213	1034	[Sonnet par Echo]*	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 213-215.
MG-1677-06_227	5289	Elégie	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 227-238.
MG-1677-06_241	5876	[Sur les Harangues]	Le Nouveau Mercure Galant, juin, tome IV, 1677, p. 241-253.
MG-1677-07_001	1821	[Sonnet de Monsieur de Fontenelle à une de ses Amies qui l’avoit prié de luy apprendre l’Espagnol]	Le Nouveau Mercure Galant, juillet, tome V, 1677, p. 1-6.
